file	level	header	start_line	end_line
webhooks.md	H2	Delivery behavior	109	114
dreams.md	H1	Dreams	1	146
dreams.md	H2	How it works	21	29
dreams.md	H2	Create a dream	30	51
dreams.md	H2	Track progress	52	76
dreams.md	H3	Lifecycle	63	72
dreams.md	H3	Watch the pipeline run	73	76
dreams.md	H2	Use the output	77	101
dreams.md	H2	Cancel a dream	102	109
dreams.md	H2	Archive a dream	110	117
dreams.md	H2	List dreams	118	124
dreams.md	H2	Errors	125	135
dreams.md	H2	Billing	136	139
dreams.md	H2	Limits	140	146
